data_entry,xx,yy,month,day,ffmc,dmc,dc,isi,temp,rh,wind,rain,area
201,1,5,sep,tue,91,129.5,692.6,7,21.6,33,2.2,0,11.53
202,6,5,mar,sun,90.1,37.6,83.7,7.2,12.4,54,3.6,0,12.1
203,7,4,feb,sun,83.9,8.7,32.1,2.1,8.8,68,2.2,0,13.05
204,8,6,oct,wed,91.4,37.9,673.8,5.2,20.2,37,2.7,0,13.7
205,5,6,mar,sat,90.6,50.1,100.4,7.8,15.1,64,4,0,13.99
206,4,5,sep,thu,92.9,137,706.4,9.2,22.1,34,1.8,0,14.57
207,2,2,aug,sat,93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45
208,7,5,sep,tue,91,129.5,692.6,7,20.7,37,2.2,0,17.2
209,6,5,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0,19.23
210,8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41
211,4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23
212,7,4,aug,sat,93.5,139.4,594.2,20.3,5.1,96,5.8,0,26
213,7,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13
214,7,3,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,27.35
215,4,4,mar,sat,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66
216,4,4,mar,sat,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66
217,4,4,sep,sun,92.4,124.1,680.7,8.5,16.9,60,1.3,0,29.48
218,1,3,sep,mon,88.6,91.8,709.9,7.1,12.4,73,6.3,0,30.32
219,4,5,sep,wed,92.9,133.3,699.6,9.2,19.4,19,1.3,0,31.72
220,6,5,mar,mon,90.1,39.7,86.6,6.2,15.2,27,3.1,0,31.86
221,8,6,aug,sun,90.2,99.6,631.2,6.3,16.2,59,3.1,0,32.07
222,3,4,sep,fri,93.3,141.2,713.9,13.9,18.6,49,3.6,0,35.88
223,4,3,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,36.85
224,2,2,jul,fri,88.3,150.3,309.9,6.8,13.4,79,3.6,0,37.02
225,7,4,sep,wed,90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71
226,4,4,sep,sun,93.5,149.3,728.6,8.1,22.9,39,4.9,0,48.55
227,7,5,oct,mon,91.7,48.5,696.1,11.1,16.1,44,4,0,49.37
228,8,6,aug,sat,92.2,81.8,480.8,11.9,20.1,34,4.5,0,58.3
229,4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1
230,8,6,aug,sat,92.2,81.8,480.8,11.9,16.4,43,4,0,71.3
231,4,4,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0,88.49
232,1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0,95.18
233,6,4,sep,tue,91,129.5,692.6,7,18.7,43,2.7,0,103.39
234,9,4,sep,tue,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66
235,4,5,sep,sat,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88
236,8,6,aug,sun,91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48
237,2,2,sep,sat,92.5,121.1,674.4,8.6,18.2,46,1.8,0,200.94
238,1,2,sep,tue,91,129.5,692.6,7,18.8,40,2.2,0,212.88
239,6,5,sep,sat,92.5,121.1,674.4,8.6,25.1,27,4,0,1090.84
240,7,5,apr,sun,81.9,3,7.9,3.5,13.4,75,1.8,0,0
241,6,3,apr,wed,88,17.2,43.5,3.8,15.2,51,2.7,0,0
242,4,4,apr,fri,83,23.3,85.3,2.3,16.7,20,3.1,0,0
243,2,4,aug,sun,94.2,122.3,589.9,12.9,15.4,66,4,0,10.13
244,7,4,aug,sun,91.8,175.1,700.7,13.8,21.9,73,7.6,1,0
245,2,4,aug,sun,91.8,175.1,700.7,13.8,22.4,54,7.6,0,2.87
246,3,4,aug,sun,91.8,175.1,700.7,13.8,26.8,38,6.3,0,0.76
247,5,4,aug,sun,91.8,175.1,700.7,13.8,25.7,39,5.4,0,0.09
248,2,4,aug,wed,92.2,91.6,503.6,9.6,20.7,70,2.2,0,0.75
249,8,6,aug,wed,93.1,157.3,666.7,13.5,28.7,28,2.7,0,0
250,3,4,aug,wed,93.1,157.3,666.7,13.5,21.7,40,0.4,0,2.47
251,8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0,0.68
252,8,5,aug,wed,93.1,157.3,666.7,13.5,24,36,3.1,0,0.24
253,6,5,aug,wed,93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21
254,7,4,aug,thu,91.9,109.2,565.5,8,21.4,38,2.7,0,1.52
255,6,3,aug,thu,91.6,138.1,621.7,6.3,18.9,41,3.1,0,10.34
256,2,5,aug,thu,87.5,77,694.8,5,22.3,46,4,0,0
257,8,6,aug,sat,94.2,117.2,581.1,11,23.9,41,2.2,0,8.02
258,4,3,aug,sat,94.2,117.2,581.1,11,21.4,44,2.7,0,0.68
259,3,4,aug,sat,91.8,170.9,692.3,13.7,20.6,59,0.9,0,0
260,7,4,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0,1.38
261,2,4,aug,mon,93.6,97.9,542,14.4,28.3,32,4,0,8.85
262,3,4,aug,fri,91.6,112.4,573,8.9,11.2,84,7.6,0,3.3
263,2,4,aug,fri,91.6,112.4,573,8.9,21.4,42,3.1,0,4.25
264,6,3,aug,fri,91.1,141.1,629.1,7.1,19.3,39,3.6,0,1.56
265,4,4,aug,fri,94.3,167.6,684.4,13,21.8,53,3.1,0,6.54
266,4,4,aug,tue,93.7,102.2,550.3,14.6,22.1,54,7.6,0,0.79
267,6,5,aug,tue,94.3,131.7,607.1,22.7,19.4,55,4,0,0.17
268,2,2,aug,tue,92.1,152.6,658.2,14.3,23.7,24,3.1,0,0
269,3,4,aug,tue,92.1,152.6,658.2,14.3,21,32,3.1,0,0
270,4,4,aug,tue,92.1,152.6,658.2,14.3,19.1,53,2.7,0,4.4
271,2,2,aug,tue,92.1,152.6,658.2,14.3,21.8,56,3.1,0,0.52
272,8,6,aug,tue,92.1,152.6,658.2,14.3,20.1,58,4.5,0,9.27
273,2,5,aug,tue,92.1,152.6,658.2,14.3,20.2,47,4,0,3.09
274,4,6,dec,sun,84.4,27.2,353.5,6.8,4.8,57,8.5,0,8.98
275,8,6,dec,wed,84,27.8,354.6,5.3,5.1,61,8,0,11.19
276,4,6,dec,thu,84.6,26.4,352,2,5.1,61,4.9,0,5.38
277,4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0,17.85
278,3,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0,10.73
279,4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0,22.03
280,4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0,9.77
281,4,6,dec,fri,84.7,26.7,352.6,4.1,2.2,59,4.9,0,9.27
282,6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0,24.77
283,6,3,feb,sun,84.9,27.5,353.5,3.4,4.2,51,4,0,0
284,3,4,feb,wed,86.9,6.6,18.7,3.2,8.8,35,3.1,0,1.1
285,5,4,feb,fri,85.2,4.9,15.8,6.3,7.5,46,8,0,24.24
286,2,5,jul,sun,93.9,169.7,411.8,12.3,23.4,40,6.3,0,0
287,7,6,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0
288,7,4,jul,sat,91.6,104.2,474.9,9,22.1,49,2.7,0,0
289,7,4,jul,sat,91.6,104.2,474.9,9,24.2,32,1.8,0,0
290,7,4,jul,sat,91.6,104.2,474.9,9,24.3,30,1.8,0,0
291,2,5,jul,sat,91.6,104.2,474.9,9,18.7,53,1.8,0,0
292,9,4,jul,sat,91.6,104.2,474.9,9,25.3,39,0.9,0,8
293,4,5,jul,fri,91.6,100.2,466.3,6.3,22.9,40,1.3,0,2.64
294,7,6,jul,tue,93.1,180.4,430.8,11,26.9,28,5.4,0,86.45
295,8,6,jul,tue,92.3,88.8,440.9,8.5,17.1,67,3.6,0,6.57
296,7,5,jun,sun,93.1,180.4,430.8,11,22.2,48,1.3,0,0
297,6,4,jun,sun,90.4,89.5,290.8,6.4,14.3,46,1.8,0,0.9
298,8,6,jun,sun,90.4,89.5,290.8,6.4,15.4,45,2.2,0,0
299,8,6,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0,0
300,6,5,jun,sat,53.4,71,233.8,0.4,10.6,90,2.7,0,0
301,6,5,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0,0
302,6,5,jun,mon,90.4,93.3,298.1,7.5,19.1,39,5.4,0,3.52
303,3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0,0
