data_entry,xx,yy,month,day,ffmc,dmc,dc,isi,temp,rh,wind,rain,area
51,4,4,sep,thu,92.9,137,706.4,9.2,20.8,17,1.3,0,0
52,4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0,0
53,4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0
54,4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0
55,4,3,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0,0
56,4,3,sep,thu,92.9,137,706.4,9.2,27.7,24,2.2,0,0
57,4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0,0
58,4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0,0
59,2,2,feb,mon,84,9.3,34,2.1,13.9,40,5.4,0,0
60,2,2,feb,fri,86.6,13.2,43,5.3,12.3,51,0.9,0,0
61,2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0,0
62,2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0,0
63,2,2,aug,thu,93,75.3,466.6,7.7,18.8,35,4.9,0,0
64,2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0,0
65,2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0,0
66,2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0,0
67,2,2,sep,fri,92.4,117.9,668,12.2,23,37,4.5,0,0
68,2,2,sep,fri,92.4,117.9,668,12.2,19.6,33,5.4,0,0
69,2,2,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0,0
70,4,5,mar,fri,91.7,33.3,77.5,9,17.2,26,4.5,0,0
71,4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0,0
72,4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0,0
73,5,4,mar,fri,91.7,33.3,77.5,9,15.6,25,6.3,0,0
74,5,4,aug,tue,88.8,147.3,614.5,9,17.3,43,4.5,0,0
75,5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0,0
76,9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0,0
77,9,9,feb,fri,86.6,13.2,43,5.3,15.7,43,3.1,0,0
78,1,3,mar,mon,87.6,52.2,103.8,5,8.3,72,3.1,0,0
79,1,2,aug,fri,90.1,108,529.8,12.5,14.7,66,2.7,0,0
80,1,2,aug,tue,91,121.2,561.6,7,21.6,19,6.7,0,0
81,1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0,0
82,1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0,0
83,1,2,aug,tue,94.8,108.3,647.1,17,18.6,51,4.5,0,0
84,1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,0
85,1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0,0
86,1,2,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,0
87,1,2,sep,thu,92.9,137,706.4,9.2,25.4,27,2.2,0,0
88,1,2,sep,thu,92.9,137,706.4,9.2,22.4,34,2.2,0,0
89,1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0,0
90,6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0,0
91,6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0,0
92,8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0,0
93,8,6,aug,sun,92.3,85.3,488,14.7,20.8,32,6.3,0,0
94,8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0,0
95,8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0,0
96,4,4,sep,sun,89.7,90,704.4,4.8,17.8,64,1.3,0,0
97,3,4,feb,sat,83.9,8,30.2,2.6,12.7,48,1.8,0,0
98,3,4,mar,sat,69,2.4,15.5,0.7,17.4,24,5.4,0,0
99,3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0,0
100,3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0
