ID_NO,HAIR_COLOR,EYE_COLOR,FACIAL_HAIR,TATTOOS,GLASSES,SCARS,FEET_SIZE
401,Brown,Blue,1,0,0,1,3
402,Brown,Brown,1,1,0,0,2
403,Brown,Blue,0,0,1,0,1
404,Black,Brown,1,0,1,0,1
405,Brown,Green,0,1,0,0,1
406,Red,Brown,1,0,0,0,1
407,Brown,Blue,1,0,1,1,1
408,Blonde,Brown,1,0,0,0,3
409,Brown,Brown,1,0,1,0,3
410,Black,Brown,1,0,1,0,2
411,Brown,Brown,0,0,0,1,2
412,Blonde,Brown,1,0,1,0,3
413,Black,Green,1,1,1,0,3
414,Red,Green,0,0,1,1,3
415,Blonde,Blue,0,1,0,0,3
416,Blonde,Blue,0,0,0,0,3
417,Black,Green,0,1,1,1,3
418,Blonde,Blue,1,0,1,1,3
419,Brown,Green,1,0,0,0,3
420,Red,Blue,0,0,0,0,3
421,Red,Blue,1,1,0,1,1
422,Blonde,Green,0,1,0,1,3
423,Blonde,Green,0,1,0,0,1
424,Red,Brown,0,1,1,1,1
425,Brown,Brown,0,0,0,1,2
426,Blonde,Brown,0,1,0,1,2
427,Black,Blue,0,0,0,0,1
428,Black,Blue,1,1,1,0,2
429,Blonde,Blue,1,1,0,1,2
430,Black,Green,0,0,0,0,2
431,Black,Blue,0,0,0,1,2
432,Black,Brown,0,1,0,1,1
433,Brown,Green,1,0,1,1,3
434,Blonde,Blue,0,1,1,0,1
435,Black,Blue,1,0,0,0,3
436,Brown,Brown,1,1,1,1,3
437,Blonde,Green,1,1,1,0,1
438,Red,Blue,1,1,1,0,3
439,Red,Brown,1,1,0,0,3
440,Brown,Blue,1,0,0,0,1
441,Brown,Green,1,0,0,1,3
442,Black,Green,1,1,0,0,3
443,Brown,Brown,1,1,1,0,2
444,Blonde,Brown,1,0,0,1,2
445,Brown,Brown,1,0,0,0,2
446,Brown,Blue,0,1,0,1,2
447,Brown,Green,1,1,1,0,3
448,Black,Blue,1,1,1,1,3
449,Brown,Brown,0,0,1,0,2
450,Blonde,Green,1,1,1,0,2
451,Black,Brown,0,1,1,0,2
452,Blonde,Brown,1,1,0,1,2
453,Black,Blue,0,0,0,0,3
454,Red,Brown,1,1,1,1,1
455,Blonde,Green,0,1,1,0,3
456,Blonde,Brown,1,0,1,1,2
457,Blonde,Green,1,0,1,1,2
458,Black,Blue,0,1,0,0,3
459,Blonde,Brown,0,0,0,1,3
460,Blonde,Brown,1,1,0,1,1
461,Blonde,Green,1,0,0,1,2
462,Brown,Brown,0,0,0,0,2
463,Blonde,Blue,0,1,1,1,3
464,Red,Brown,1,1,1,0,3
465,Red,Green,0,0,1,1,2
466,Blonde,Green,1,0,0,1,1
467,Blonde,Blue,1,1,1,1,1
468,Black,Brown,1,0,1,0,1
469,Blonde,Blue,0,0,0,1,1
470,Red,Blue,1,1,1,1,2
471,Blonde,Blue,1,1,1,0,2
472,Brown,Blue,0,1,0,1,1
473,Blonde,Green,0,0,0,0,1
474,Blonde,Brown,0,1,0,0,1
475,Black,Brown,1,0,0,0,1
476,Black,Green,0,0,1,1,3
477,Black,Brown,1,1,0,1,2
478,Black,Green,0,1,0,1,1
479,Red,Brown,1,0,0,1,2
480,Brown,Brown,0,0,0,1,2
481,Brown,Brown,0,0,0,0,1
482,Blonde,Brown,1,0,1,0,3
483,Blonde,Blue,1,1,1,0,2
484,Red,Brown,0,1,1,0,2
485,Black,Blue,1,1,0,0,2
486,Black,Brown,1,0,1,1,3
487,Brown,Blue,0,0,1,1,2
488,Red,Blue,0,0,1,1,1
489,Blonde,Blue,1,0,0,1,1
490,Blonde,Green,1,0,1,1,1
491,Black,Blue,0,0,1,1,2
492,Red,Green,1,1,1,0,3
493,Black,Brown,0,1,0,0,3
494,Blonde,Blue,1,1,0,1,2
495,Brown,Blue,1,1,1,0,1
496,Blonde,Green,0,1,0,1,1
497,Red,Blue,0,0,0,0,2
498,Brown,Blue,0,1,1,0,3
499,Red,Blue,1,0,1,1,3
500,Red,Green,0,0,1,0,2
