Customer_ID,Order_ID,Order_Date,Store Number,Product_ID,Unit_Price,Discount,Quantity,Response
101,88209,4/26/2014,100,16474,145.45,0.09,13,1
102,16710,4/26/2014,103,16474,145.45,0.09,53,1
1025,89013,11/9/2014,108,16182,284.98,0.08,20,1
1027,89016,12/29/2015,103,15956,449.99,0.08,20,1
1030,89622,4/22/2014,100,15653,175.99,0.09,11,1
1043,87851,9/8/2015,100,16083,270.97,0.06,12,1
1056,90215,1/15/2013,106,16244,113.98,0.06,12,1
1060,58628,3/25/2012,105,15872,138.75,0.09,23,1
1074,86424,1/27/2014,107,16474,145.45,0.06,11,1
1106,45824,12/8/2012,103,16253,140.81,0.08,81,1
1118,86773,11/15/2013,102,16361,209.84,0.09,26,1
1123,87016,12/22/2012,100,15675,175.99,0.09,22,1
1129,32037,2/20/2012,107,15948,699.99,0.07,15,1
1135,87942,12/11/2013,106,16197,500.98,0.09,14,1
1136,87940,7/4/2012,104,16083,270.97,0.09,15,1
1138,86577,2/4/2013,105,16676,107.53,0.07,12,1
1139,86585,5/8/2015,108,15775,152.48,0.10,12,1
1143,86583,8/23/2014,103,16194,300.98,0.10,25,1
1182,86916,3/6/2014,107,16886,125.99,0.10,11,1
1211,88601,10/25/2013,109,15694,195.99,0.06,23,1
1211,88608,7/3/2015,109,16149,165.98,0.10,17,1
1217,54595,5/1/2012,101,16454,130.98,0.09,41,1
1228,32164,2/3/2013,104,16243,296.18,0.10,23,1
1228,36482,7/7/2014,104,16013,105.34,0.07,36,1
1228,36482,7/6/2014,104,16559,328.14,0.06,63,1
1231,90381,7/6/2014,107,16559,328.14,0.06,16,1
1238,86080,2/8/2014,100,16651,110.99,0.08,12,1
1250,87877,10/11/2012,107,16247,120.98,0.09,22,1
1250,87880,11/25/2013,107,15944,195.99,0.09,37,1
1253,89981,4/25/2012,102,15934,212.60,0.10,12,1
1259,86540,11/19/2013,102,16536,276.20,0.07,29,1
1280,33763,9/25/2013,105,16578,499.99,0.08,42,1
129,86698,11/30/2015,101,16124,111.03,0.10,43,1
1350,88235,5/13/2014,109,16245,243.98,0.07,17,1
1377,88218,9/22/2015,105,16539,128.24,0.10,22,1
1397,88736,10/17/2013,106,16218,400.97,0.10,13,1
1402,322,3/20/2015,101,16279,155.99,0.08,20,1
1417,90543,8/7/2013,109,16268,363.25,0.08,12,1
1433,86828,11/21/2012,109,16194,300.98,0.07,14,1
1450,86735,5/25/2012,100,16348,218.08,0.10,12,1
1463,86401,12/5/2013,102,16809,104.85,0.09,11,1
1463,86406,1/8/2015,102,15927,348.21,0.07,12,1
1471,87080,10/15/2013,108,15775,152.48,0.09,13,1
1473,87084,9/12/2015,106,16539,128.24,0.06,13,1
1479,90748,8/16/2014,108,16562,114.98,0.08,14,1
1487,86473,6/15/2014,100,15803,180.98,0.06,18,1
1488,30048,6/15/2014,104,15803,180.98,0.06,73,1
1494,85888,8/6/2014,109,15929,376.13,0.09,11,1
1497,85883,12/22/2013,106,15928,400.98,0.08,15,1
1499,90731,2/5/2012,103,15869,146.05,0.08,11,1
1503,89197,1/2/2015,105,16197,500.98,0.07,11,1
1509,90308,9/12/2015,101,16533,110.98,0.09,17,1
1511,90307,8/13/2015,100,16533,110.98,0.06,13,1
1520,89959,9/3/2015,101,16129,140.85,0.06,19,1
1526,86817,12/12/2013,109,15968,550.98,0.07,11,1
1531,88855,11/2/2014,105,16361,209.84,0.10,12,1
1537,90426,1/21/2015,101,16542,349.45,0.10,12,1
1538,90423,5/1/2014,107,16243,296.18,0.08,14,1
1550,87496,5/1/2014,103,16214,599.99,0.09,11,1
